,loss,dice_coef,f1-score,f2-score,precision,recall,iou_score,val_loss,val_dice_coef,val_f1-score,val_f2-score,val_precision,val_recall,val_iou_score
0,0.21186108887195587,0.6610426306724548,0.6607863306999207,0.6854369044303894,0.63934326171875,0.7273471355438232,0.52769935131073,0.1599045842885971,0.7405669093132019,0.604655385017395,0.5895786881446838,0.665583610534668,0.7011287808418274,0.4838542938232422
1,0.10407973825931549,0.8240130543708801,0.8272169828414917,0.8325583338737488,0.82171630859375,0.8370956182479858,0.7092782855033875,0.14098826050758362,0.7753505706787109,0.6463181376457214,0.6382635831832886,0.6828868985176086,0.7529847025871277,0.5305389165878296
2,0.08942057192325592,0.8491358160972595,0.8524203300476074,0.8567970991134644,0.8474922180175781,0.8603485822677612,0.7457610368728638,0.13851140439510345,0.7807400226593018,0.6528601050376892,0.6562312841415405,0.6698435544967651,0.7812874913215637,0.5391230583190918
3,0.08025112003087997,0.8645517230033875,0.8675060868263245,0.8714506030082703,0.8627350330352783,0.8745602369308472,0.7683565616607666,0.145391583442688,0.7745118737220764,0.6469727158546448,0.6410118937492371,0.6862401962280273,0.7585557699203491,0.5320460200309753
4,0.07587176561355591,0.8719726204872131,0.8750141859054565,0.878548800945282,0.8705701231956482,0.8812882304191589,0.7798966765403748,0.13739848136901855,0.7854612469673157,0.6580048203468323,0.65285724401474,0.6891725659370422,0.7704168558120728,0.5452727675437927
5,0.07189962267875671,0.8785879611968994,0.8813321590423584,0.8845171928405762,0.8772401809692383,0.8869609832763672,0.7897260785102844,0.14723342657089233,0.7732474207878113,0.6456788778305054,0.6333876848220825,0.6977751851081848,0.74640291929245,0.5312449932098389
6,0.06806150823831558,0.8849923610687256,0.8876457214355469,0.8905642032623291,0.8838170170783997,0.8927789926528931,0.7995756268501282,0.14549876749515533,0.7763993144035339,0.6431519389152527,0.635352611541748,0.6882149577140808,0.7517092227935791,0.529931902885437
7,0.06639815866947174,0.8877833485603333,0.8903735876083374,0.8928572535514832,0.8872734904289246,0.8947826623916626,0.803939163684845,0.14675725996494293,0.776671290397644,0.650624692440033,0.6398804187774658,0.6936649084091187,0.7534298896789551,0.5380754470825195
8,0.06286022067070007,0.8936929702758789,0.8961977958679199,0.8986014127731323,0.8929762244224548,0.9004054665565491,0.8132026195526123,0.14841856062412262,0.7775786519050598,0.6509959101676941,0.6473303437232971,0.6837837100028992,0.7659684419631958,0.5388340950012207
9,0.06227182224392891,0.8946725130081177,0.8970829844474792,0.8994552493095398,0.8939492702484131,0.9012480974197388,0.8146804571151733,0.1496187448501587,0.7717649340629578,0.6410596966743469,0.6329052448272705,0.6792164444923401,0.7498185038566589,0.5269840359687805
10,0.06006181240081787,0.8983378410339355,0.900661826133728,0.9029623866081238,0.897555947303772,0.904683530330658,0.8204413056373596,0.1433819681406021,0.7843921780586243,0.6599376201629639,0.6549925208091736,0.6920188069343567,0.7737100124359131,0.5480958819389343
11,0.057746585458517075,0.9021766185760498,0.9045054316520691,0.9066643714904785,0.9015479683876038,0.908265233039856,0.8267495036125183,0.15667153894901276,0.7677209973335266,0.6332249045372009,0.6239794492721558,0.6843963265419006,0.7389609217643738,0.5186805725097656
12,0.05672118440270424,0.903858482837677,0.9061133861541748,0.908292829990387,0.9030629992485046,0.9098958373069763,0.8293651938438416,0.1508346050977707,0.7746918201446533,0.6464870572090149,0.6486296653747559,0.6691587567329407,0.7720563411712646,0.533650279045105
